3.38156,3.38911
4.52788,5.85418
2.65568,4.41199
2.76523,3.71541
2.84656,4.17551
3.89067,6.48838
3.47581,3.63285
5.91130,6.68077
3.92889,5.09845
4.56184,5.62330
4.57407,5.39765
4.37173,5.46117
4.19169,4.95469
5.24409,4.66149
2.83584,3.76802
5.63527,6.31211
4.68633,5.66524
2.85051,4.62646
5.11016,7.36320
5.18256,4.64651
5.70733,6.68104
3.57968,4.80278
5.63938,6.12044
4.26347,4.68943
2.53652,3.88449
3.22383,4.94256
4.92949,5.95502
5.79296,5.10839
2.81685,4.81896
3.88882,5.10037
3.34323,5.89301
5.87973,5.52142
3.10392,3.85710
5.33151,4.68074
3.37543,4.56538
4.77668,6.25435
2.67575,3.73097
5.50028,5.67948
1.79710,3.24754
4.32251,5.11110
4.42100,6.02564
3.17930,4.43686
3.03354,3.97879
4.60935,5.87979
2.96379,3.30025
3.97176,5.40774
1.18023,2.87869
1.91895,5.07108
3.95525,4.50533
5.11795,6.08507
